iter	RMSE
0	697.2881432
1	692.6413251
2	688.4535918
3	684.9356878
4	679.9945396
5	675.6610999
6	671.9192964
7	667.6462543
8	664.0228775
9	659.7682542
10	655.678536
11	651.4467333
12	647.4659948
13	642.9196705
14	638.67572
15	634.9261854
16	630.5540804
17	626.5798364
18	622.5078957
19	618.4257987
20	614.5616696
21	610.8018667
22	606.621415
23	602.5965175
24	599.0530268
25	594.9468588
26	591.0855956
27	587.4826959
28	584.1531777
29	580.2721334
30	576.5729171
31	573.0763078
32	570.4504759
33	567.220673
34	563.7099711
35	560.3319708
36	556.8249155
37	553.6893563
38	550.2436167
39	547.0140712
40	543.7735365
41	540.1222628
42	536.575295
43	533.994379
44	530.9335102
45	527.6569645
46	524.0628282
47	521.3729712
48	518.3850235
49	515.1199506
50	512.1337229
51	509.202564
52	506.1676934
53	503.0551326
54	500.043056
55	497.1281463
56	494.1638918
57	491.7244512
58	488.9526258
59	486.3582799
60	483.3253407
61	480.2841364
62	477.6243845
63	475.0349645
64	472.3569127
65	469.8627186
66	467.1384421
67	464.5499127
68	462.1952019
69	459.7324322
70	457.0377047
71	454.4394913
72	451.7814693
73	449.2787761
74	446.9383066
75	444.4857124
76	442.2034288
77	439.8550998
78	438.0318181
79	436.0091702
80	434.1327051
81	431.6268519
82	429.5885294
83	427.2379288
84	425.0630571
85	422.7393325
86	420.4664432
87	418.1856304
88	416.007819
89	413.6791526
90	411.5314792
91	409.778989
92	407.6655161
93	405.8544577
94	403.8044667
95	401.9285582
96	399.7222229
97	397.6166562
98	395.4281076
99	393.2679749
100	391.4914173
101	389.5570388
102	387.8301012
103	386.0654451
104	384.1483329
105	382.2342307
106	380.382577
107	378.687335
108	376.7372868
109	375.1026005
110	373.1780395
111	371.6038112
112	369.8753962
113	368.2661349
114	366.4350693
115	364.9111366
116	363.4490879
117	361.6723613
118	360.2192838
119	358.7043245
120	357.0174117
121	355.3365955
122	353.7463594
123	352.152688
124	350.5334295
125	348.9533915
126	347.2817552
127	345.6688476
128	344.3070165
129	343.0193238
130	341.4431948
131	339.975629
132	338.612285
133	337.3826288
134	335.9997718
135	334.6884802
136	333.2989699
137	331.9917872
138	330.6608398
139	329.4261531
140	328.0794558
141	326.8342343
142	325.505614
143	324.2981097
144	322.9354735
145	321.5916896
146	320.4135295
147	319.1177251
148	317.9049917
149	316.6958339
150	315.4381572
151	314.326989
152	313.0924018
153	311.9700349
154	310.7713736
155	309.6169783
156	308.5996713
157	307.5703785
158	306.4169686
159	305.2928601
160	304.1198084
161	303.1720961
162	302.0588657
163	301.1179885
164	300.1397078
165	299.0433634
166	297.9969556
167	297.0167451
168	295.978348
169	294.9830106
170	293.8864262
171	292.7778639
172	291.6841741
173	290.7595128
174	289.8034678
175	288.8358347
176	287.8796274
177	286.9522748
178	286.1123232
