iter	Passed	Remaining
0	169	270488
1	291	233079
2	428	227954
3	549	219091
4	685	218718
5	804	213713
6	946	215458
7	1067	212381
8	1197	211774
9	1315	209098
10	1445	208785
11	1507	199542
12	1626	198611
13	1759	199280
14	1879	198583
15	2014	199474
16	2135	198879
17	2276	200035
18	2417	201137
19	2548	201348
20	2664	200377
21	2797	200638
22	2818	193235
23	2936	192811
24	3069	193375
25	3190	193144
26	3324	193655
27	3446	193516
28	3576	193771
29	3694	193332
30	3824	193575
31	3946	193363
32	4079	193715
33	4197	193339
34	4330	193616
35	4392	190823
36	4500	190136
37	4628	190262
38	4744	189893
39	4872	190024
40	5000	190140
41	5068	188030
42	5225	189207
43	5352	189291
44	5489	189683
45	5610	189536
46	5745	189861
47	5865	189661
48	5994	189748
49	6107	189317
50	6238	189464
51	6272	186741
52	6384	186369
53	6514	186514
54	6633	186327
55	6758	186345
56	6822	184694
57	6932	184303
58	7059	184377
59	7180	184296
60	7200	181671
61	7338	182053
62	7459	181977
63	7585	182060
64	7708	182050
65	7845	182349
66	7968	182327
67	8112	182779
68	8136	180528
69	8250	180337
70	8384	180564
71	8511	180643
72	8646	180872
73	8763	180720
74	8896	180891
75	9013	180739
76	9139	180764
77	9156	178678
78	9265	178380
79	9391	178433
80	9508	178311
81	9634	178361
82	9752	178256
83	9878	178292
84	9995	178148
85	10127	178299
86	10250	178264
87	10392	178556
88	10407	176685
89	10520	176503
90	10542	174827
91	10545	172849
92	10676	173012
93	10798	173008
94	10933	173213
95	11049	173101
96	11185	173311
97	11247	172391
98	11361	172262
99	11496	172442
100	11616	172407
101	11751	172589
102	11867	172483
103	11993	172528
104	12027	171252
105	12055	169910
106	12165	169749
107	12294	169851
108	12311	168406
109	12425	168311
110	12558	168467
111	12676	168421
112	12801	168458
113	12925	168485
114	13071	168792
115	13188	168728
116	13316	168784
117	13436	168747
118	13566	168839
119	13687	168813
120	13821	168943
121	13938	168867
122	14064	168885
123	14182	168818
124	14306	168822
125	14432	168832
126	14569	168986
127	14705	169109
128	14843	169264
129	14863	168069
130	15097	169298
131	15119	168147
132	15342	169227
133	15529	169897
134	15768	171121
135	15980	172025
136	16174	172723
137	16330	173011
138	16458	172989
139	16596	173074
140	16720	173020
141	16901	173535
142	17048	173707
143	17230	174220
144	17364	174240
145	17538	174664
146	17657	174529
147	17811	174741
148	17946	174769
149	18144	175398
150	18397	176545
151	18624	177421
152	18839	178174
153	18945	177890
154	19103	178091
155	19238	178083
156	19378	178107
157	19413	177176
158	19445	176234
159	19622	176602
160	19658	175701
161	19670	174606
162	19789	174465
163	19918	174407
164	20038	174272
165	20215	174628
166	20478	175723
167	20673	176218
168	20870	176717
169	21083	177353
170	21142	176681
171	21171	175769
172	21343	176054
173	21383	175243
174	21493	175019
175	21701	175580
176	21922	176246
177	22145	176917
178	22336	177320
179	22475	177308
180	22599	177176
181	22735	177140
182	22893	177265
183	23064	177496
184	23080	176533
185	23191	176306
186	23316	176181
187	23432	175991
188	23561	175903
189	23679	175725
